Longitude,Latitude,Trend,P-Value
12.5000,67.5000,2.12925e-05,7.86988e-01
12.5000,72.5000,2.98094e-05,7.86988e-01
12.5000,77.5000,1.27755e-05,7.86988e-01
12.5000,82.5000,0.00000e+00,9.99000e+33
12.5000,87.5000,0.00000e+00,9.99000e+33
17.5000,-87.5000,0.00000e+00,9.99000e+33
17.5000,-82.5000,0.00000e+00,9.99000e+33
17.5000,-77.5000,0.00000e+00,9.99000e+33
17.5000,-72.5000,-5.19053e-06,8.27490e-01
17.5000,-67.5000,-1.03811e-05,8.27490e-01
17.5000,-62.5000,-5.19053e-06,8.27490e-01
17.5000,-57.5000,0.00000e+00,9.99000e+33
17.5000,-52.5000,0.00000e+00,9.99000e+33
17.5000,-47.5000,0.00000e+00,9.99000e+33
17.5000,-42.5000,-8.94354e-05,1.49363e-01
17.5000,-37.5000,-1.79403e-04,1.46371e-01
17.5000,-32.5000,-9.11657e-05,1.11975e-01
17.5000,-27.5000,-6.78703e-06,6.59698e-01
17.5000,-22.5000,9.44913e-06,5.23006e-01
17.5000,-17.5000,1.82319e-05,8.10221e-01
17.5000,-12.5000,-1.96990e-05,6.40575e-01
17.5000,-7.5000,-2.90157e-05,5.21348e-01
17.5000,-2.5000,-6.12326e-06,9.26631e-01
17.5000,2.5000,0.00000e+00,9.99000e+33
17.5000,7.5000,0.00000e+00,9.99000e+33
17.5000,12.5000,0.00000e+00,9.99000e+33
17.5000,17.5000,0.00000e+00,9.99000e+33
17.5000,22.5000,0.00000e+00,9.99000e+33
17.5000,27.5000,1.17652e-04,6.10266e-01
17.5000,32.5000,3.80248e-04,2.37508e-01
17.5000,37.5000,4.34557e-04,1.14310e-01
17.5000,42.5000,1.98977e-04,1.57548e-01
17.5000,47.5000,2.70163e-05,5.69293e-01
17.5000,52.5000,0.00000e+00,9.99000e+33
17.5000,57.5000,0.00000e+00,9.99000e+33
17.5000,62.5000,0.00000e+00,9.99000e+33
17.5000,67.5000,1.70340e-05,7.86988e-01
17.5000,72.5000,3.40679e-05,7.86988e-01
17.5000,77.5000,1.70340e-05,7.86988e-01
17.5000,82.5000,0.00000e+00,9.99000e+33
17.5000,87.5000,0.00000e+00,9.99000e+33
22.5000,-87.5000,0.00000e+00,9.99000e+33
22.5000,-82.5000,0.00000e+00,9.99000e+33
22.5000,-77.5000,0.00000e+00,9.99000e+33
22.5000,-72.5000,-6.92070e-06,8.27490e-01
22.5000,-67.5000,-1.73018e-05,8.27490e-01
22.5000,-62.5000,-1.38414e-05,8.27490e-01
22.5000,-57.5000,-3.46035e-06,8.27490e-01
22.5000,-52.5000,-1.86323e-06,9.08093e-01
22.5000,-47.5000,-5.72276e-06,8.46268e-01
22.5000,-42.5000,-1.24966e-04,2.13219e-01
22.5000,-37.5000,-2.58450e-04,1.09304e-01
22.5000,-32.5000,-1.55576e-04,6.68882e-02
22.5000,-27.5000,-1.86315e-05,5.87277e-01
